ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
1,TPC-H E-Commerce Dataset,,ROOT,snowflake://SNOWFLAKE_SAMPLE_DATA/TPCH_SF1,sha256:standard-benchmark-schema
2,Region: EUROPE,1:IMPLEMENTS,REGION,sql:02_sample_queries.sql#Q1,sha256:e1bc798705e9090a7b100d65e1a342b925f61dd57cd8112730506f7abd1e9051
3,Region: ASIA,1:IMPLEMENTS,REGION,sql:02_sample_queries.sql#Q1,sha256:e1bc798705e9090a7b100d65e1a342b925f61dd57cd8112730506f7abd1e9051
4,Region: AMERICA,1:IMPLEMENTS,REGION,sql:02_sample_queries.sql#Q1,sha256:e1bc798705e9090a7b100d65e1a342b925f61dd57cd8112730506f7abd1e9051
5,Region: AFRICA,1:IMPLEMENTS,REGION,sql:02_sample_queries.sql#Q1,sha256:e1bc798705e9090a7b100d65e1a342b925f61dd57cd8112730506f7abd1e9051
6,Region: MIDDLE EAST,1:IMPLEMENTS,REGION,sql:02_sample_queries.sql#Q1,sha256:e1bc798705e9090a7b100d65e1a342b925f61dd57cd8112730506f7abd1e9051
7,Segment: BUILDING,1:IMPLEMENTS,SEGMENT,sql:02_sample_queries.sql#Q2,sha256:800e749a61633916072e87b58489f61f2b4127f19456de25b764c49b268848e6
8,Segment: HOUSEHOLD,1:IMPLEMENTS,SEGMENT,sql:02_sample_queries.sql#Q2,sha256:800e749a61633916072e87b58489f61f2b4127f19456de25b764c49b268848e6
9,Segment: FURNITURE,1:IMPLEMENTS,SEGMENT,sql:02_sample_queries.sql#Q2,sha256:800e749a61633916072e87b58489f61f2b4127f19456de25b764c49b268848e6
10,Segment: MACHINERY,1:IMPLEMENTS,SEGMENT,sql:02_sample_queries.sql#Q2,sha256:800e749a61633916072e87b58489f61f2b4127f19456de25b764c49b268848e6
11,Segment: AUTOMOBILE,1:IMPLEMENTS,SEGMENT,sql:02_sample_queries.sql#Q2,sha256:800e749a61633916072e87b58489f61f2b4127f19456de25b764c49b268848e6
12,Supplier base: IRAQ,6:REQUIRES,SUPPLIER_NATION,sql:02_sample_queries.sql#Q3,sha256:07e4a05ef8c335a6ebfd4c6ffcb5013d1f62b7e8e230837639ae46375d1c6927
13,Supplier base: PERU,4:REQUIRES,SUPPLIER_NATION,sql:02_sample_queries.sql#Q3,sha256:07e4a05ef8c335a6ebfd4c6ffcb5013d1f62b7e8e230837639ae46375d1c6927
14,Supplier base: ALGERIA,5:REQUIRES,SUPPLIER_NATION,sql:02_sample_queries.sql#Q3,sha256:07e4a05ef8c335a6ebfd4c6ffcb5013d1f62b7e8e230837639ae46375d1c6927
15,Supplier base: ARGENTINA,4:REQUIRES,SUPPLIER_NATION,sql:02_sample_queries.sql#Q3,sha256:07e4a05ef8c335a6ebfd4c6ffcb5013d1f62b7e8e230837639ae46375d1c6927
